Name,FoodGroup,ServingSize,ServingUnit,PurchaseUnit,DefaultLocation,StoreSection,IsPerishable,IsFlexibleGroup,IsMyPlateCounted,ShelfLifeDays,TypicalPackageSize,PackageSizeUnit,IsStaple,Aliases,Notes
Grapefruit,Fruit,1,whole,each,Fridge,Produce,true,false,true,21,1,each,false,,
Grapefruit Juice,Fruit,1,cup,bottle,Fridge,Produce,true,false,true,7,32,oz,false,,
Grapes,Fruit,1,cup,bag,Fridge,Produce,true,false,true,14,1,lb,false,,
Honeydew,Fruit,1,cup diced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Kiwi,Fruit,2,whole,each,Fridge,Produce,true,false,true,14,1,each,false,,
Lemon,Fruit,1,whole,each,Fridge,Produce,true,false,true,21,1,each,false,,
Lime,Fruit,1,whole,each,Fridge,Produce,true,false,true,21,1,each,false,,
Mango,Fruit,1,cup chopped,each,Fridge,Produce,true,false,true,7,1,each,false,,
Nectarine,Fruit,1,whole,each,Fridge,Produce,true,false,true,5,1,each,false,,
Orange,Fruit,1,whole,each,Fridge,Produce,true,false,true,21,1,each,false,,
Orange Juice,Fruit,1,cup,bottle,Fridge,Produce,true,false,true,7,64,oz,false,,
Papaya,Fruit,1,cup diced,each,Fridge,Produce,true,false,true,7,1,each,false,,
Peach,Fruit,1,whole,each,Fridge,Produce,true,false,true,5,1,each,false,,
Pear,Fruit,1,whole,each,Fridge,Produce,true,false,true,14,1,each,false,,
Pineapple,Fruit,1,cup chopped,each,Fridge,Produce,true,false,true,5,1,each,false,,
Pineapple Juice,Fruit,1,cup,bottle,Fridge,Produce,true,false,true,7,32,oz,false,,
Plum,Fruit,2,whole,lb,Fridge,Produce,true,false,true,7,1,lb,false,,
Pomegranate Arils,Fruit,1,cup,container,Fridge,Produce,true,false,true,5,8,oz,false,,
Prunes,Fruit,0.5,cup,container,Fridge,Produce,false,false,true,180,8,oz,false,,
Raisins,Fruit,0.5,cup,box,Pantry,Pantry,false,false,true,180,6,oz,false,,
Raspberries,Fruit,1,cup,pint,Fridge,Produce,true,false,true,4,1,pint,false,,
Strawberries,Fruit,1,cup,pint,Fridge,Produce,true,false,true,5,1,lb,false,,
Tangerine,Fruit,2,whole,bag,Fridge,Produce,true,false,true,21,3,lb,false,,
Watermelon,Fruit,1,cup diced,each,Fridge,Produce,true,false,true,7,1,each,false,,
