Name,FoodGroup,ServingSize,ServingUnit,PurchaseUnit,DefaultLocation,StoreSection,IsPerishable,IsFlexibleGroup,IsMyPlateCounted,ShelfLifeDays,TypicalPackageSize,PackageSizeUnit,IsStaple,Aliases,Notes
Crushed Tomatoes,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,28,oz,false,,
Diced Tomatoes,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,14.5,oz,false,,
Dijon Mustard,Other,0,tbsp,jar,Pantry,Pantry,false,false,false,365,12,oz,true,,
Dried Basil,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,1,oz,true,,
Dried Oregano,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,1,oz,true,,
Dried Parsley,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,1,oz,true,,
Dried Rosemary,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,1,oz,true,,
Dried Thyme,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,1,oz,true,,
Evaporated Cane Sugar,Other,0,tbsp,bag,Pantry,Pantry,false,false,false,730,2,lb,false,,
Fire-Roasted Tomatoes,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,14.5,oz,false,,
Fish Sauce,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,24,oz,true,,
Fruit Cup,Fruit,0.5,cup,cup,Pantry,Pantry,false,false,true,365,1,cup,false,,
Garlic Powder,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,3,oz,true,,
Giardiniera,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Gravy,Other,0,tbsp,jar,Fridge,Pantry,true,false,false,14,12,oz,false,,
Green Chiles,Vegetable,0.5,cup,can,Pantry,Pantry,false,false,true,730,4,oz,false,,
Hearts of Palm,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,14,oz,false,,
Honey,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,12,oz,true,,
Hot Sauce,Other,0,tsp,bottle,Pantry,Pantry,false,false,false,730,5,oz,true,,
Jam,Fruit,0.5,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Jelly,Fruit,0.5,cup,jar,Pantry,Pantry,false,false,true,365,18,oz,false,,
Jarred Roasted Red Peppers,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,12,oz,false,,
Ketchup,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,20,oz,true,,
Kimchi,Vegetable,0.5,cup,jar,Fridge,Produce,true,false,true,30,16,oz,false,,
Lemon Juice,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,15,oz,false,,
Light Brown Sugar,Other,0,tbsp,bag,Pantry,Pantry,false,false,false,730,2,lb,true,,
Lime Juice,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,15,oz,false,,
Maple Syrup,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,12,oz,true,,
Marinated Artichokes,Vegetable,1,cup,jar,Fridge,Produce,true,false,true,30,12,oz,false,,
Marinated Mushrooms,Vegetable,1,cup,jar,Fridge,Produce,true,false,true,30,12,oz,false,,
Mayonnaise,Other,0,tbsp,jar,Fridge,Pantry,true,false,false,90,30,oz,true,,
Mirin,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,10,oz,true,,
Miso Paste,Other,0,tbsp,container,Fridge,Pantry,true,false,false,180,14,oz,false,,
Molasses,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,12,oz,false,,
Mustard,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,14,oz,true,,
Nutmeg,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,2,oz,true,,
Olive Oil,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,16,oz,true,,
Olive Tapenade,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,8,oz,false,,
Olives,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,6,oz,false,,
Onion Powder,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,3,oz,true,,
Paprika,Other,0,tsp,jar,Pantry,Pantry,false,false,false,730,2,oz,true,,
Peanut Oil,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,24,oz,true,,
Pickled Beets,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Pickled Jalapenos,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,12,oz,false,,
Pico de Gallo,Vegetable,1,cup,container,Pantry,Pantry,true,false,true,5,12,oz,false,,
Pizza Sauce,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,14,oz,false,,
Pesto,Other,0,tbsp,jar,Fridge,Pantry,true,false,false,30,6,oz,false,,
Powdered Sugar,Other,0,tbsp,bag,Pantry,Pantry,false,false,false,730,2,lb,true,Confectioners Sugar,
Preserves,Fruit,0.5,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Pumpkin Pie Filling,Vegetable,1,cup,can,Pantry,Pantry,false,false,true,730,15,oz,false,,"Prepared sweetened pumpkin product; vegetable classification reflects pumpkin base, not nutritional quality."
Ranch Dressing,Other,0,tbsp,bottle,Fridge,Pantry,true,false,false,90,16,oz,false,,
Red Wine Vinegar,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,12,oz,true,,
Refried Beans,Legume,0.5,cup,can,Pantry,Protein,false,true,true,730,16,oz,false,,
Relish,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,12,oz,false,,
Rice Vinegar,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,12,oz,true,,
Salsa,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Salsa Verde,Vegetable,1,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Salt,Other,0,tsp,container,Pantry,Pantry,false,false,false,730,26,oz,true,,
Sauerkraut,Vegetable,0.5,cup,jar,Pantry,Pantry,false,false,true,365,16,oz,false,,
Sesame Oil,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,10,oz,true,,
Soy Sauce,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,15,oz,true,,
Steak Sauce,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,10,oz,false,,
Sun-Dried Tomato Pesto,Other,0,tbsp,jar,Fridge,Pantry,true,false,false,30,6,oz,false,,
Tahini,Protein,2,tbsp,jar,Pantry,Protein,false,false,true,365,16,oz,true,,Counts toward protein in the current ingredient model even though it is primarily a seed paste.
Tomato Paste,Vegetable,0.5,cup,can,Pantry,Pantry,false,false,true,730,6,oz,false,,
Vanilla Extract,Other,0,tsp,bottle,Pantry,Pantry,false,false,false,730,2,oz,true,,
Vegetable Broth,Other,0,cup,carton,Pantry,Pantry,false,false,false,365,32,oz,true,,
Vegetable Oil,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,48,oz,true,,
White Sugar,Other,0,tbsp,bag,Pantry,Pantry,false,false,false,730,4,lb,true,,
White Vinegar,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,730,16,oz,true,,
Whole Wheat Flour,Other,0,cup,bag,Pantry,Pantry,false,false,false,365,5,lb,true,,
Worcestershire Sauce,Other,0,tbsp,bottle,Pantry,Pantry,false,false,false,365,10,oz,true,,
Yeast,Other,0,tsp,packet,Pantry,Pantry,false,false,false,365,3,packet,true,,
